"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"RT @los_aristemos: Y en Colombia DOS tendencias 
<U+0001F449> COLOMBIA CON JOACO y
<U+0001F449> ADOPCIÓN ARISTEMO https://t.co/4WitAJmOzI",FALSE,0,NA,2019-07-11 02:33:28,FALSE,NA,"1149144644720189440",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","KarlaOcaa10",351,TRUE,FALSE,NA,NA
"RT @los_aristemos: Y en Colombia DOS tendencias 
<U+0001F449> COLOMBIA CON JOACO y
<U+0001F449> ADOPCIÓN ARISTEMO https://t.co/4WitAJmOzI",FALSE,0,NA,2019-07-11 02:33:19,FALSE,NA,"1149144610708439040",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","cristi_lupita1",351,TRUE,FALSE,NA,NA
"RT @los_aristemos: Y en Colombia DOS tendencias 
<U+0001F449> COLOMBIA CON JOACO y
<U+0001F449> ADOPCIÓN ARISTEMO https://t.co/4WitAJmOzI",FALSE,0,NA,2019-07-11 02:33:18,FALSE,NA,"1149144603846742016",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","karla48808761",351,TRUE,FALSE,NA,NA
"RT @los_aristemos: Y en Colombia DOS tendencias 
<U+0001F449> COLOMBIA CON JOACO y
<U+0001F449> ADOPCIÓN ARISTEMO https://t.co/4WitAJmOzI",FALSE,0,NA,2019-07-11 02:33:06,FALSE,NA,"1149144554316161025",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","DavidSa32009610",351,TRUE,FALSE,NA,NA
"RT @los_aristemos: Y en Colombia DOS tendencias 
<U+0001F449> COLOMBIA CON JOACO y
<U+0001F449> ADOPCIÓN ARISTEMO https://t.co/4WitAJmOzI",FALSE,0,NA,2019-07-11 02:33:06,FALSE,NA,"1149144553078890496",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Kimberlymh_",351,TRUE,FALSE,NA,NA
"RT @cxroxtahi: @BambiAristemo @sanxpineda @JoaquinBondoni @los_aristemos @MiMaridoFamOf @osoriojua @PabloSinTuiter8 @sanxpineda Somos de nu…",FALSE,0,NA,2019-07-11 02:33:04,FALSE,NA,"1149144544992268288",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","SKAMRQE",53,TRUE,FALSE,NA,NA
"RT @los_aristemos: Y en Colombia DOS tendencias 
<U+0001F449> COLOMBIA CON JOACO y
<U+0001F449> ADOPCIÓN ARISTEMO https://t.co/4WitAJmOzI",FALSE,0,NA,2019-07-11 02:32:54,FALSE,NA,"1149144504366223361",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","emiliaco_real",351,TRUE,FALSE,NA,NA
"RT @los_aristemos: Y en Colombia DOS tendencias 
<U+0001F449> COLOMBIA CON JOACO y
<U+0001F449> ADOPCIÓN ARISTEMO https://t.co/4WitAJmOzI",FALSE,0,NA,2019-07-11 02:32:49,FALSE,NA,"1149144483201728515",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","FerValerio_",351,TRUE,FALSE,NA,NA
"RT @los_aristemos: Y en Colombia DOS tendencias 
<U+0001F449> COLOMBIA CON JOACO y
<U+0001F449> ADOPCIÓN ARISTEMO https://t.co/4WitAJmOzI",FALSE,0,NA,2019-07-11 02:32:40,FALSE,NA,"1149144443821236224",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","homeharrystyles",351,TRUE,FALSE,NA,NA
"RT @los_aristemos: Y en Colombia DOS tendencias 
<U+0001F449> COLOMBIA CON JOACO y
<U+0001F449> ADOPCIÓN ARISTEMO https://t.co/4WitAJmOzI",FALSE,0,NA,2019-07-11 02:32:36,FALSE,NA,"1149144428147367937",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","C4rlosGamer98",351,TRUE,FALSE,NA,NA
