"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"Vamos a convertir a #LaDorada en un polo de desarrollo tecnológico con proyectos de telecomunicaciones, call center… https://t.co/bdVuQJLd3g",FALSE,5,"camilogaviriag",2019-08-08 15:32:02,TRUE,"1159487194345680896","1159487438680657920","261814819","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","camilogaviriag",3,FALSE,FALSE,NA,NA
"Puesto: Personal Investigador de Apoyo - Ciberseguridad (Ingeniería de Telecomunicaciones / Ingeniería Informática)… https://t.co/LydgNoJCN5",FALSE,0,NA,2019-08-08 12:28:05,TRUE,NA,"1159441145488957441",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","empleo_idi",0,FALSE,FALSE,NA,NA
"RT @miguelsepulcre: Oferta de #empleo en I+D+i en la #UMH sobre “Comunicaciones #V2X para Vehículo Autónomo Conectado” para titulad@s en #t…",FALSE,0,NA,2019-08-08 09:16:38,FALSE,NA,"1159392967897100290",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ramashispania",4,TRUE,FALSE,NA,NA
"@WRadioColombia El bicentenario tendrá su historia y las nuevas generaciones van ha recordar al Señor duque como el… https://t.co/Cfx0gRbMwi",FALSE,0,"WRadioColombia",2019-08-08 03:12:08,TRUE,"1159267221459361792","1159301237122183170","20560294","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","JhonJairoBalle6",0,FALSE,FALSE,NA,NA
"A ver #Twitter haz tu magia, estoy buscando empleo, soy Ingeniero en Computación, tengo un MBA, soy experto en Admi… https://t.co/i86sCqHZgL",FALSE,0,NA,2019-08-08 00:52:48,TRUE,NA,"1159266172040339456",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","darkk666",0,FALSE,FALSE,NA,NA
"RT @galgus_: Buscamos un Ingeniero de Telecomunicaciones o de Informática para unirse a nosotros con conocimientos en comunicaciones inalám…",FALSE,0,NA,2019-08-07 23:11:54,FALSE,NA,"1159240779405176832",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","frngalan",1,TRUE,FALSE,NA,NA
"Supervisore/as área de telecomunicaciones https://t.co/II9IvrS7xh ciudad Puerto Montt #trabajo #empleo",FALSE,0,NA,2019-08-07 22:53:02,FALSE,NA,"1159236031650107393",NA,"<a href=""http://www.chiletrabajos.cl/"" rel=""nofollow"">chiletrabajos</a>","cht_puertomontt",0,FALSE,FALSE,NA,NA
"PROMOTOR /A STAND TELECOMUNICACIONES CENTROS COMERCIALES
#empleo #trabajo #Alicante #trabajoalicante
Inscríbete aqu… https://t.co/F9OykqZGWR",FALSE,0,NA,2019-08-07 20:13:49,TRUE,NA,"1159195963023667200",NA,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","TrabajosAlacant",0,FALSE,FALSE,NA,NA
"RT coitaoc RT Seviempleo: <U+0001F4C4><U+0001F4E3>Oferta de #empleo de 2 puestos en ingeniería de telecomunicaciones con discapacidad… https://t.co/Dr4vcIywiR",FALSE,0,NA,2019-08-07 20:08:13,TRUE,NA,"1159194557541691392",NA,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","decanoCOITAOC",0,FALSE,FALSE,NA,NA
"RT @Seviempleo: <U+0001F4C4><U+0001F4E3>Oferta de #empleo de 2 puestos en ingeniería de telecomunicaciones con discapacidad #incluyeSE en Sevilla vía @SAEmpleo h…",FALSE,0,NA,2019-08-07 19:55:16,FALSE,NA,"1159191297061728256",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","BelininiBrown",3,TRUE,FALSE,NA,NA
"RT @Seviempleo: <U+0001F4C4><U+0001F4E3>Oferta de #empleo de 2 puestos en ingeniería de telecomunicaciones con discapacidad #incluyeSE en Sevilla vía @SAEmpleo h…",FALSE,0,NA,2019-08-07 19:49:39,FALSE,NA,"1159189883828809728",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","coitaoc",3,TRUE,FALSE,NA,NA
